
RUNNING 20 EPISODES

BEGINNING EPISODE: 1

S: (0, 1), A: north, S': (0, 2), R: 0.0
S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: east, S': (0, 3), R: 0.0

S: (0, 3), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: east, S': (0, 3), R: 0.0

Receive Negative (-1) human signal

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

Receive Negative (-1) human signal

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 1), R: 0.0

S: (0, 1), A: east, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

Receive Negative (-1) human signal

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: south, S': (1, 0), R: 0.0

S: (1, 0), A: exit, S': TERMINAL_STATE, R: -10

EPISODE 1 COMPLETE: RETURN WAS -0.000617036519172

Learned QValue: {((0, 1), 'east'): -0.1, ((4, 4), 'south'): 0, ((0, 2), 'south'): -0.1, ((0, 2), 'west'): -0.1, ((3, 1), 'west'): 0, ((2, 0), 'exit'): 0, ((2, 1), 'east'): 0, ((4, 0), 'exit'): 0, ((2, 3), 'west'): 0, ((0, 3), 'north'): -0.19, ((4, 2), 'exit'): 0, ((2, 4), 'east'): 0, ((0, 1), 'south'): 0, ((2, 3), 'east'): 0, ((0, 2), 'east'): 0, ((3, 3), 'south'): 0, ((3, 3), 'north'): 0, ((3, 4), 'north'): 0, ((4, 4), 'north'): 0, ((4, 1), 'south'): 0, ((2, 1), 'south'): 0, ((2, 2), 'exit'): 0, ((0, 3), 'west'): -0.34390000000000004, ((2, 4), 'south'): 0, ((4, 4), 'east'): 0, ((3, 4), 'east'): 0, ((1, 4), 'north'): -0.6513215599000001, ((0, 2), 'north'): -0.271, ((2, 3), 'north'): 0, ((3, 3), 'west'): 0, ((4, 4), 'west'): 0, ((0, 3), 'east'): -0.34390000000000004, ((1, 0), 'exit'): 0, ((3, 1), 'south'): 0, ((2, 4), 'north'): -0.1, ((1, 1), 'south'): 0, ((1, 1), 'west'): 0, ((3, 3), 'east'): 0, ((0, 0), 'exit'): 0, ((2, 3), 'south'): 0, ((3, 0), 'exit'): 0, ((1, 4), 'east'): -0.1, ((4, 3), 'west'): 0, ((4, 1), 'north'): 0, ((0, 1), 'north'): 0, ((2, 4), 'west'): -0.1, ((1, 4), 'west'): -0.34390000000000004, ((1, 1), 'east'): 0, ((0, 4), 'north'): -0.34390000000000004, ((2, 1), 'west'): 0, ((0, 4), 'south'): -0.34390000000000004, ((3, 4), 'west'): 0, ((3, 1), 'north'): 0, ((3, 4), 'south'): 0, ((1, 4), 'south'): -0.19, ((4, 3), 'east'): 0, ((4, 1), 'west'): 0, ((0, 4), 'west'): -0.46855900000000006, ((4, 3), 'north'): 0, ((0, 3), 'south'): -0.19, ((3, 1), 'east'): 0, ((4, 1), 'east'): 0, ((0, 1), 'west'): 0, ((0, 4), 'east'): -0.46855900000000006, ((1, 1), 'north'): -0.19, ((2, 1), 'north'): 0, ((4, 3), 'south'): 0}

BEGINNING EPISODE: 2

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

Receive Positive (+1) human signal

S: (2, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: south, S': (2, 2), R: 0.0

S: (2, 2), A: exit, S': TERMINAL_STATE, R: 1

EPISODE 2 COMPLETE: RETURN WAS 0.150094635297

Learned QValue: {((0, 1), 'east'): -0.1, ((4, 4), 'south'): 0, ((0, 2), 'south'): -0.1, ((0, 2), 'west'): -0.1, ((3, 1), 'west'): 0, ((2, 0), 'exit'): 0, ((2, 1), 'east'): 0, ((4, 0), 'exit'): 0, ((2, 3), 'west'): 0, ((0, 3), 'north'): -0.07100000000000001, ((4, 2), 'exit'): 0, ((2, 4), 'east'): 0, ((0, 1), 'south'): 0, ((2, 3), 'east'): 0, ((0, 2), 'east'): 0.1, ((3, 3), 'south'): 0, ((3, 3), 'north'): 0, ((3, 4), 'north'): 0, ((4, 4), 'north'): 0, ((4, 1), 'south'): 0, ((2, 1), 'south'): 0, ((2, 2), 'exit'): 0, ((0, 3), 'west'): -0.34390000000000004, ((2, 4), 'south'): 0.1, ((4, 4), 'east'): 0, ((3, 4), 'east'): 0, ((1, 4), 'north'): -0.6513215599000001, ((0, 2), 'north'): -0.271, ((2, 3), 'north'): 0.1, ((3, 3), 'west'): 0, ((4, 4), 'west'): 0, ((0, 3), 'east'): -0.34390000000000004, ((1, 0), 'exit'): 0, ((3, 1), 'south'): 0, ((2, 4), 'north'): -0.1, ((1, 1), 'south'): 0, ((1, 1), 'west'): 0, ((3, 3), 'east'): 0, ((0, 0), 'exit'): 0, ((2, 3), 'south'): 0, ((3, 0), 'exit'): 0, ((1, 4), 'east'): 0.010000000000000009, ((4, 3), 'west'): 0, ((4, 1), 'north'): 0, ((0, 1), 'north'): 0, ((2, 4), 'west'): -0.1, ((1, 4), 'west'): -0.34390000000000004, ((1, 1), 'east'): 0, ((0, 4), 'north'): -0.08855900000000001, ((2, 1), 'west'): 0, ((0, 4), 'south'): -0.34390000000000004, ((3, 4), 'west'): 0, ((3, 1), 'north'): 0, ((3, 4), 'south'): 0, ((1, 4), 'south'): -0.19, ((4, 3), 'east'): 0, ((4, 1), 'west'): 0, ((0, 4), 'west'): -0.3217031, ((4, 3), 'north'): 0, ((0, 3), 'south'): -0.19, ((3, 1), 'east'): 0, ((4, 1), 'east'): 0, ((0, 1), 'west'): 0, ((0, 4), 'east'): -0.3217031, ((1, 1), 'north'): -0.19, ((2, 1), 'north'): 0, ((4, 3), 'south'): 0}

BEGINNING EPISODE: 3

S: (0, 1), A: north, S': (1, 1), R: 0.0

Receive Positive (+1) human signal

S: (1, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 1), R: 0.0

S: (0, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 1), R: 0.0

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

Receive Negative (-1) human signal

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: west, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

Receive Positive (+1) human signal

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

Receive Positive (+1) human signal

S: (4, 4), A: east, S': (4, 3), R: 0.0

S: (4, 3), A: west, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

Receive Negative (-1) human signal

S: (2, 3), A: south, S': (2, 2), R: 0.0

S: (2, 2), A: exit, S': TERMINAL_STATE, R: 1

EPISODE 3 COMPLETE: RETURN WAS 0.00246503470496

Learned QValue: {((0, 1), 'east'): -0.1, ((4, 4), 'south'): 0, ((0, 2), 'south'): -0.1, ((0, 2), 'west'): -0.1, ((3, 1), 'west'): 0, ((2, 0), 'exit'): 0, ((2, 1), 'east'): 0, ((4, 0), 'exit'): 0, ((2, 3), 'west'): 0.1, ((0, 3), 'north'): -0.16390000000000002, ((4, 2), 'exit'): 0, ((2, 4), 'east'): 0, ((0, 1), 'south'): 0, ((2, 3), 'east'): 0, ((0, 2), 'east'): -0.10900000000000001, ((3, 3), 'south'): 0, ((3, 3), 'north'): 0.1, ((3, 4), 'north'): 0.271, ((4, 4), 'north'): 0.46855900000000006, ((4, 1), 'south'): 0, ((2, 1), 'south'): 0, ((2, 2), 'exit'): 0.1, ((0, 3), 'west'): -0.34390000000000004, ((2, 4), 'south'): -0.206440489, ((4, 4), 'east'): 0, ((3, 4), 'east'): 0, ((1, 4), 'north'): -0.6513215599000001, ((0, 2), 'north'): -0.40951000000000004, ((2, 3), 'north'): -0.07344099999999998, ((3, 3), 'west'): 0, ((4, 4), 'west'): 0, ((0, 3), 'east'): -0.34390000000000004, ((1, 0), 'exit'): 0, ((3, 1), 'south'): 0, ((2, 4), 'north'): 0.010000000000000009, ((1, 1), 'south'): 0, ((1, 1), 'west'): 0, ((3, 3), 'east'): 0, ((0, 0), 'exit'): 0, ((2, 3), 'south'): 0.19, ((3, 0), 'exit'): 0, ((1, 4), 'east'): 0.2154149, ((4, 3), 'west'): 0, ((4, 1), 'north'): 0, ((0, 1), 'north'): -0.010000000000000009, ((2, 4), 'west'): 0.010000000000000009, ((1, 4), 'west'): -0.34390000000000004, ((1, 1), 'east'): 0, ((0, 4), 'north'): -0.26173279, ((2, 1), 'west'): 0, ((0, 4), 'south'): -0.34390000000000004, ((3, 4), 'west'): 0, ((3, 1), 'north'): 0, ((3, 4), 'south'): 0, ((1, 4), 'south'): -0.19, ((4, 3), 'east'): 0, ((4, 1), 'west'): 0, ((0, 4), 'west'): -0.3217031, ((4, 3), 'north'): 0, ((0, 3), 'south'): -0.271, ((3, 1), 'east'): 0, ((4, 1), 'east'): 0, ((0, 1), 'west'): 0, ((0, 4), 'east'): -0.3217031, ((1, 1), 'north'): -0.19, ((2, 1), 'north'): 0, ((4, 3), 'south'): 0}

BEGINNING EPISODE: 4

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

Receive Positive (+1) human signal

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 0), R: 0.0

S: (0, 0), A: exit, S': TERMINAL_STATE, R: -10

EPISODE 4 COMPLETE: RETURN WAS -5.9049

Learned QValue: {((0, 1), 'east'): -0.1, ((4, 4), 'south'): 0, ((0, 2), 'south'): -0.1, ((0, 2), 'west'): -0.1, ((3, 1), 'west'): 0, ((2, 0), 'exit'): 0, ((2, 1), 'east'): 0, ((4, 0), 'exit'): 0, ((2, 3), 'west'): 0.1, ((0, 3), 'north'): -0.16390000000000002, ((4, 2), 'exit'): 0, ((2, 4), 'east'): 0, ((0, 1), 'south'): 0, ((2, 3), 'east'): 0, ((0, 2), 'east'): -0.10900000000000001, ((3, 3), 'south'): 0, ((3, 3), 'north'): 0.1, ((3, 4), 'north'): 0.271, ((4, 4), 'north'): 0.46855900000000006, ((4, 1), 'south'): 0, ((2, 1), 'south'): 0, ((2, 2), 'exit'): 0.19, ((0, 3), 'west'): -0.34390000000000004, ((2, 4), 'south'): -0.206440489, ((4, 4), 'east'): 0, ((3, 4), 'east'): 0, ((1, 4), 'north'): -0.6513215599000001, ((0, 2), 'north'): -0.40951000000000004, ((2, 3), 'north'): -0.07344099999999998, ((3, 3), 'west'): 0, ((4, 4), 'west'): 0, ((0, 3), 'east'): -0.34390000000000004, ((1, 0), 'exit'): 0, ((3, 1), 'south'): 0, ((2, 4), 'north'): 0.010000000000000009, ((1, 1), 'south'): 0, ((1, 1), 'west'): 0, ((3, 3), 'east'): 0, ((0, 0), 'exit'): 0, ((2, 3), 'south'): 0.271, ((3, 0), 'exit'): 0, ((1, 4), 'east'): 0.2154149, ((4, 3), 'west'): 0, ((4, 1), 'north'): 0, ((0, 1), 'north'): -0.010000000000000009, ((2, 4), 'west'): 0.010000000000000009, ((1, 4), 'west'): -0.34390000000000004, ((1, 1), 'east'): 0, ((0, 4), 'north'): -0.26173279, ((2, 1), 'west'): 0, ((0, 4), 'south'): -0.34390000000000004, ((3, 4), 'west'): 0, ((3, 1), 'north'): 0, ((3, 4), 'south'): 0, ((1, 4), 'south'): -0.19, ((4, 3), 'east'): 0, ((4, 1), 'west'): 0, ((0, 4), 'west'): -0.3217031, ((4, 3), 'north'): 0, ((0, 3), 'south'): -0.271, ((3, 1), 'east'): 0, ((4, 1), 'east'): 0, ((0, 1), 'west'): 0.19, ((0, 4), 'east'): -0.3217031, ((1, 1), 'north'): -0.19, ((2, 1), 'north'): 0, ((4, 3), 'south'): 0}

BEGINNING EPISODE: 5

S: (0, 1), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

Receive Positive (+1) human signal

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 3), R: 0.0

S: (0, 3), A: west, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

Receive Negative (-1) human signal

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

Receive Positive (+1) human signal

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

Receive Positive (+1) human signal

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: south, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

Receive Negative (-1) human signal

S: (2, 3), A: south, S': (2, 2), R: 0.0

S: (2, 2), A: exit, S': TERMINAL_STATE, R: 1

EPISODE 5 COMPLETE: RETURN WAS 0.00338139191352

Learned QValue: {((0, 1), 'east'): -0.1, ((4, 4), 'south'): 0, ((0, 2), 'south'): -0.1, ((0, 2), 'west'): -0.19153900000000001, ((3, 1), 'west'): 0, ((2, 0), 'exit'): 0, ((2, 1), 'east'): 0, ((4, 0), 'exit'): 0, ((2, 3), 'west'): 0.1, ((0, 3), 'north'): -0.14275900000000002, ((4, 2), 'exit'): 0, ((2, 4), 'east'): 0, ((0, 1), 'south'): 0, ((2, 3), 'east'): 0, ((0, 2), 'east'): 0.001899999999999985, ((3, 3), 'south'): 0, ((3, 3), 'north'): -0.010000000000000009, ((3, 4), 'north'): -0.25092859609, ((4, 4), 'north'): 0.5217031000000001, ((4, 1), 'south'): 0, ((2, 1), 'south'): 0, ((2, 2), 'exit'): 0.19, ((0, 3), 'west'): -0.40951000000000004, ((2, 4), 'south'): -0.2857964401, ((4, 4), 'east'): 0, ((3, 4), 'east'): 0, ((1, 4), 'north'): -0.6513215599000001, ((0, 2), 'north'): -0.40951000000000004, ((2, 3), 'north'): -0.07344099999999998, ((3, 3), 'west'): 0, ((4, 4), 'west'): 0, ((0, 3), 'east'): -0.34390000000000004, ((1, 0), 'exit'): 0, ((3, 1), 'south'): 0, ((2, 4), 'north'): 0.27829000000000004, ((1, 1), 'south'): 0, ((1, 1), 'west'): 0, ((3, 3), 'east'): 0, ((0, 0), 'exit'): 0, ((2, 3), 'south'): 0.271, ((3, 0), 'exit'): 0, ((1, 4), 'east'): 0.18448606899999997, ((4, 3), 'west'): 0, ((4, 1), 'north'): 0, ((0, 1), 'north'): -0.010000000000000009, ((2, 4), 'west'): 0.010000000000000009, ((1, 4), 'west'): -0.40951000000000004, ((1, 1), 'east'): 0, ((0, 4), 'north'): -0.207822883519, ((2, 1), 'west'): 0, ((0, 4), 'south'): -0.34390000000000004, ((3, 4), 'west'): -0.1, ((3, 1), 'north'): 0, ((3, 4), 'south'): 0, ((1, 4), 'south'): -0.07100000000000001, ((4, 3), 'east'): 0, ((4, 1), 'west'): 0, ((0, 4), 'west'): -0.07057951100000001, ((4, 3), 'north'): 0, ((0, 3), 'south'): -0.271, ((3, 1), 'east'): 0, ((4, 1), 'east'): 0, ((0, 1), 'west'): 0.271, ((0, 4), 'east'): -0.3217031, ((1, 1), 'north'): -0.19, ((2, 1), 'north'): 0, ((4, 3), 'south'): 0}

BEGINNING EPISODE: 6

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

Receive Positive (+1) human signal

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

Receive Negative (-1) human signal

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: south, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: east, S': (1, 1), R: 0.0

S: (1, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 1), R: 0.0

S: (0, 1), A: west, S': (0, 0), R: 0.0

S: (0, 0), A: exit, S': TERMINAL_STATE, R: -10

EPISODE 6 COMPLETE: RETURN WAS -0.225283995449

